"","x"
"1","Gnai3"
"2","Pbsn"
"3","Cdc45"
"4","Scml2"
"5","Narf"
"6","Klf6"
"7","Scmh1"
"8","Cox5a"
"9","Tbx2"
"10","Tbx4"
"11","Ngfr"
"12","Xpo6"
"13","Tfe3"
"14","Axin2"
"15","Brat1"
"16","Gna12"
"17","Dlat"
"18","Sdhd"
"19","Fgf23"
"20","Nalcn"
"21","Slfn4"
"22","Th"
"23","Tspan32"
"24","Lhx2"
"25","Gmpr"
"26","Glra1"
"27","Scpep1"
"28","Mnt"
"29","Tpd52l1"
"30","Pemt"
"31","Cdh1"
"32","Cdh4"
"33","Ckmt1"
"34",NA
"35","Comt"
"36","Rtca"
"37","Dazap2"
"38","Rnf17"
"39","Trappc10"
"40","Wap"
"41","Tbrg4"
"42","Fap"
"43","Gcg"
"44","Cttnbp2"
"45","Galnt1"
"46","Myf5"
"47","Mkrn2"
"48","Pparg"
"49","Raf1"
"50","Pdgfb"
"51","Acvr1b"
"52","Tom1l2"
"53","Zfp385a"
"54","Wdr77"
"55","Atp5pb"
"56","Hnrnpd"
"57","Dynlt1c"
"58","Gm2a"
"59","Clcn4"
"60","Vmn2r88"
"61","Hk2"
"62","Myo18a"
"63","Loxl3"
"64","Tcl1b5"
"65","Rab5b"
"66","Cryba1"
"67","Dnmt3l"
"68","Icosl"
"69","Rpl13"
"70","Chmp1a"
"71","Rpa1"
"72","Tubgcp3"
"73","Polr3d"
"74","Tcf7"
"75","Ddx3x"
"76","Usp32"
"77","Txnrd3"
"78","Zfp512b"
"79","Dnajc5"
"80","Tpd52l2"
"81","Fmr1"
"82","Bcl11a"
"83","Il4"
"84","Gnb1l"
"85","Smarcb1"
"86","Vpreb3"
"87","Hip1r"
"88","Nsun5"
"89","Hoxa4"
"90",NA
"91","Heatr6"
"92","Wfdc18"
"93","Ilf2"
"94","Chtop"
"95","Snapin"
"96","S100a5"
"97","Scn4a"
"98","Icam2"
"99","Epn2"
"100","B9d1"
"101","Sec24b"
"102","N4bp3"
"103","Nhp2"
"104","Vps9d1"
"105","Zfp276"
"106","C1ql4"
"107","Mfsd10"
"108","Luzp1"
"109","Kctd10"
"110","Poldip2"
"111","Sebox"
"112","Pcbp3"
"113","Cfp"
"114","Lman2l"
"115","Mcm3ap"
"116","Pcnt"
"117","Mxd1"
"118","Gmcl1"
"119","Snrnp27"
"120","Oas1c"
"121","Oas1h"
"122","Ocrl"
"123","Calm1"
"124","Agpat3"
"125","Uhrf1"
"126","Lsr"
"127","Hpn"
"128","Ckb"
"129","Sp1"
"130","Pfdn5"
"131","Efnb2"
"132","Rrp15"
"133","Acp5"
"134","Fbxo9"
"135","Vps50"
"136","Hars1"
"137","Zmat2"
"138","Ube2c"
"139","Smg5"
"140","Cct3"
"141","Glmp"
"142","Mef2d"
"143","Tmem79"
"144","Snd1"
"145","Kpnb1"
"146","Mrpl10"
"147","Tcf25"
"148","Tubb6"
"149","Sost"
"150","Pax9"
"151","Foxm1"
"152","Nrip2"
"153","Tulp3"
"154","Gtf2h4"
"155","Tubb5"
"156","Jup"
"157","Fkbp10"
"158","Klhl10"
"159","Mnx1"
"160","Nom1"
"161","Ergic1"
"162","Csn3"
"163","Ifrd1"
"164","Stk38l"
"165","Akr1b1"
"166","Hoxc11"
"167","Ddx18"
"168","Ubl3"
"169","Eef1e1"
"170","Akt1"
"171","Il16"
"172","Coasy"
"173","Tspan33"
"174","Crnkl1"
"175","Chordc1"
"176","Rtcb"
"177","Fbxo7"
"178","Capns1"
"179","Lrp3"
"180","Evx2"
"181","Folr1"
"182","Clpb"
"183","Septin7"
"184","Rac1"
"185","Nup214"
"186","Cpa3"
"187","Ugp2"
"188","Trmt1"
"189","Nacc1"
"190","Nfix"
"191","Uba1"
"192","Siae"
"193","Vsig2"
"194","Fam50a"
"195","Emd"
"196","Gria3"
"197","Npas1"
"198","Sipa1l2"
"199","Ap4e1"
"200","Blvra"
"201","Srpk3"
"202","Idh3g"
"203","Pnck"
"204","Bcap31"
"205","Fam98a"
"206","Ift46"
"207","Tmem25"
"208","Trappc6a"
"209","Supt6"
"210","Spag5"
"211","Sdf2"
"212","Hsf2bp"
"213","Bbc3"
"214","Mybpc3"
"215","Psmc3"
"216","Celf2"
"217","Ddb2"
"218","Sf3a1"
"219","Stat6"
"220","Napsa"
"221","Vrk3"
"222","Paxip1"
"223","Rmnd5a"
"224","Mov10"
"225","Prr27"
"226","Tead3"
"227","Ppard"
"228","Def6"
"229","Ciao3"
"230","Dbf4"
"231","Daxx"
"232","Cd320"
"233","Ipo4"
"234","Tm9sf1"
"235","Gmpr2"
"236","Dhrs1"
"237","Ncan"
"238","Borcs8"
"239","Snx9"
"240","Ranbp3"
"241","Ocel1"
"242","Dyrk1b"
"243","Braf"
"244","Ndufb2"
"245","Hltf"
"246","Prpf6"
"247","Abhd3"
"248","Snrpd1"
"249","Tiam1"
"250","Tsc2"
"251","Rpl3l"
"252","Golga2"
"253","Scin"
"254","Ikzf4"
"255","Ccdc97"
"256","Akap8l"
"257","Pdcd2l"
"258","Gtf2f1"
"259","Alkbh7"
"260","Pspn"
"261","Med6"
"262","Prkd1"
"263","Lcp2"
"264","Cse1l"
"265","Naa20"
"266","Plekha3"
"267","Ykt6"
"268","Baz1b"
"269","Mrpl2"
"270","Mea1"
"271","Kdelr1"
"272","Tmem143"
"273","Ggct"
"274","Jag2"
"275","Btbd6"
"276","Nudt14"
"277","Flii"
"278","Top3a"
"279","Plin4"
"280","Hdgfl2"
"281","Chaf1a"
"282","Adprh"
"283","Tmem39a"
"284","Mcm2"
"285","Nab1"
"286","Adgre5"
"287","Il17ra"
"288","Lamb1"
"289","Arrdc2"
"290","Map2k7"
"291","Timm44"
"292","Pnkp"
"293","Med25"
"294","Bcam"
"295","Clptm1"
"296","Relb"
"297","Apoc2"
"298","Hbp1"
"299","Cdkn1b"
"300","Klf4"
"301","Ap1m1"
"302","Hmgn2"
"303","Fam32a"
"304","Elf3"
"305","Cyp2c29"
"306","Stard3nl"
"307","Stk11"
"308","Ppp5c"
"309","Cdk12"
"310","Lipe"
"311","Pafah1b2"
"312","Tbc1d8"
"313","Cnot11"
"314","Foxj2"
"315","Dgcr2"
"316","Zfp959"
"317","Sh3gl1"
"318","Ebi3"
"319","Ranbp2"
"320","Grk5"
"321","Dvl3"
"322","Abcf3"
"323","Cyth2"
"324","Dlgap1"
"325","Plag1"
"326","Mrpl4"
"327","Keap1"
"328","Ap1m2"
"329","Glg1"
"330","Atp8b3"
"331","Btbd2"
"332","Csnk1g2"
"333","Cacnb3"
"334","Ccdc65"
"335","Ddx23"
"336","Pld3"
"337","Prkcsh"
"338","Elavl3"
"339","Rab3b"
"340","Nosip"
"341","Rps11"
"342","Supt5"
"343","Paf1"
"344","Ncstn"
"345","Pex19"
"346","Crhr2"
"347","Inmt"
"348","Cyp4f18"
"349","Prodh"
"350","Ess2"
"351","Slc25a1"
"352","Dgcr6"
"353","Ddr1"
"354","Fosb"
"355","Klc4"
"356","Crtc1"
"357","Sec14l2"
"358","Aven"
"359","Rps6ka1"
"360","Snrnp200"
"361","Ciao1"
"362","Has1"
"363","Insig2"
"364","Kpna6"
"365","Man1a"
"366","Coq8b"
"367","Brd8"
"368","Kif20a"
"369","Farsa"
"370","Gcdh"
"371","Mast2"
"372","Rad23a"
"373","Calr"
"374","Syce2"
"375","Gys1"
"376","Ruvbl2"
"377","Bax"
"378","Tfam"
"379","Zfp81"
"380","Efnb3"
"381","Mmd"
"382","Rpl8"
"383","Grm3"
"384","Ssbp2"
"385","Gstm5"
"386","Stat3"
"387","Stat5a"
"388","Cavin1"
"389","Map3k11"
"390","Akt2"
"391","Dnaja3"
"392","Cdip1"
"393","Map3k20"
"394","Cwc15"
"395","Col5a3"
"396","Dnmt1"
"397","Ppan"
"398","Angptl2"
"399","Etv1"
"400","Psap"
"401","Pax2"
"402","Phb2"
"403","Atp6v1f"
"404","Il12b"
"405","Clcn5"
"406","Clcn3"
"407","Gpx6"
"408","Utp20"
"409","Cul3"
"410","Large1"
"411","Ddx56"
"412","Col26a1"
"413","Ppp1cc"
"414","Dnajb11"
"415","Tbccd1"
"416","Clec11a"
"417","Gab2"
"418","Coro1c"
"419","Tax1bp1"
"420","Ctse"
"421","Mettl17"
"422","Pnpla6"
"423","Mcoln1"
"424","Arhgef18"
"425","Pkn2"
"426","Cd33"
"427","Pcp2"
"428","Chn2"
"429","Slbp"
"430","Tyr"
"431","Ghrhr"
"432","Arid3b"
"433","Polr2e"
