"";"totalRNA";"translRNA";"TE";"symbol"
"1";"46.185";"96.715";"2.09407816390603";"Gnai3"
"2";"0";"0";"NaN";"Pbsn"
"3";"24.145";"171.835";"7.11679436736384";"Cdc45"
"4";"158.845";"122.36";"0.770310680222859";"Scml2"
"5";"0.03";"0";"0";"Apoh"
"6";"8.825";"10.125";"1.14730878186969";"Narf"
"7";"0.01";"0";"0";"Cav2"
"8";"0.655";"41.27";"63.0076335877863";"Klf6"
"9";"37.175";"94.045";"2.52979152656355";"Scmh1"
"10";"64.235";"210.585";"3.27835292286137";"Cox5a"
"11";"0";"0";"NaN";"Tbx2"
"12";"61.025";"98.165";"1.60860303154445";"Tbx4"
"13";"0.065";"0";"0";"Zfy2"
"14";"0.02";"2.555";"127.75";"Ngfr"
"15";"0.04";"0";"0";"Wnt3"
"16";"0.01";"0";"0";"Wnt9a"
"17";"11.575";"0";"0";"Fer"
"18";"18.115";"165.89";"9.15760419541816";"Xpo6"
"19";"86.53";"73.695";"0.851669941060904";"Tfe3"
"20";"86.325";"43.41";"0.502867072111208";"Axin2"
"21";"0.915";"7.36";"8.04371584699454";"Brat1"
"22";"26.735";"8.25";"0.308584252852067";"Gna12"
"23";"0.025";"0";"0";"Slc22a18"
"24";"0.1";"0";"0";"Itgb2l"
"25";"0.045";"0";"0";"Igsf5"
"26";"0.225";"0";"0";"Pih1d2"
"27";"16.91";"76.26";"4.50975753991721";"Dlat"
"28";"27.44";"34.165";"1.24508017492711";"Sdhd"
"29";"0";"0";"NaN";"Fgf23"
"30";"0.14";"0";"0";"Fgf6"
"31";"0.02";"0";"0";"Ccnd2"
"32";"4.265";"0";"0";"Gpr107"
"33";"0.48";"5.06";"10.5416666666667";"Nalcn"
"34";"0.085";"0";"0";"Btbd17"
"35";"0";"0";"NaN";"Slfn4"
"36";"22.075";"19.475";"0.882219705549264";"Th"
"37";"0.115";"0";"0";"Ins2"
"38";"0.01";"0";"0";"Scnn1g"
"39";"0.045";"0";"0";"Drp2"
"40";"0";"0";"NaN";"Tspan32"
"41";"5.06";"0.345";"0.0681818181818182";"Lhx2"
"42";"0.07";"0";"0";"Clec2g"
"43";"6.01";"10.205";"1.69800332778702";"Gmpr"
"44";"0";"0";"NaN";"Glra1"
"45";"0.005";"0";"0";"Mid2"
"46";"0.065";"0";"0";"Trim25"
"47";"1.715";"0";"0";"Dgke"
"48";"43.855";"11.09";"0.252878805153346";"Scpep1"
"49";"3.53";"0.495";"0.140226628895184";"Mnt"
"50";"0.01";"0";"0";"Itgb2"
"51";"6.2";"0";"0";"Hddc2"
"52";"0.875";"15.05";"17.2";"Tpd52l1"
"53";"2.05";"36.62";"17.8634146341463";"Pemt"
"54";"29.7";"54.93";"1.84949494949495";"Cdh1"
"55";"5.145";"8.465";"1.64528668610301";"Cdh4"
"56";"0";"0";"NaN";"Ckmt1"
"57";"0.065";"0";"0";"Bcl6b"
"58";"6.335";"0";"0";"Clec10a"
"59";"2.07";"0";"0";"Alox12"
"60";"1.97";"8.39";"4.25888324873096";NA
"61";"0.145";"1.495";"10.3103448275862";"Comt"
"62";"5.26";"11.875";"2.25760456273764";"Rtca"
"63";"2.06";"0";"0";"Dbt"
"64";"50.61";"269.655";"5.32809721398933";"Dazap2"
"65";"2.65";"0";"0";"Mcts1"
"66";"0.02";"0";"0";"Rem1"
"67";"81.27";"20.195";"0.248492678725237";"Rnf17"
"68";"28.065";"78.11";"2.78318189916266";"Trappc10"
"69";"3.2";"0";"0";"Ccm2"
"70";"0";"0";"NaN";"Wap"
"71";"3.935";"5.86";"1.48919949174079";"Tbrg4"
"72";"0.255";"0";"0";"Tmprss2"
"73";"0";"0";"NaN";"Fap"
"74";"0";"0";"NaN";"Gcg"
"75";"1.9";"0";"0";"Ndufa9"
"76";"9.32";"0";"0";"Egfl6"
"77";"0.05";"0";"0";"Lck"
"78";"0.055";"0";"0";"Tssk3"
"79";"4.67";"32.805";"7.02462526766595";"Cttnbp2"
"80";"10.765";"2.59";"0.24059451927543";"Galnt1"
"81";"0";"0";"NaN";"Myf5"
"82";"21.505";"100.335";"4.66565914903511";"Mkrn2"
"83";"13.48";"8.945";"0.663575667655786";"Pparg"
"84";"111.07";"222.64";"2.00450166561628";"Raf1"
"85";"0.775";"0";"0";"Septin1"
"86";"1.975";"1.51";"0.764556962025316";"Pdgfb"
"87";"0.255";"0";"0";"Acvrl1"
"88";"1.63";"0";"0";"Tamalin"
"89";"5.28";"1.18";"0.223484848484848";"Acvr1b"
"90";"22.505";"75.505";"3.35503221506332";"Tom1l2"
"91";"0.785";"0";"0";"Gpa33"
"92";"9.815";"18.44";"1.87875700458482";"Zfp385a"
"93";"0.11";"0";"0";"Itga5"
"94";"0.025";"0";"0";"Gabra2"
"95";"0.21";"9.19";"43.7619047619048";"Wdr77"
"96";"0.22";"0";"0";"Adora3"
"97";"27.855";"52.375";"1.88027284150063";"Atp5pb"
"98";"0.075";"0";"0";"Sox9"
"99";"178.89";"143.475";"0.802029179942982";"Hnrnpd"
"100";"0.255";"45.415";"178.098039215686";"Dynlt1c"
"101";"0.695";"0";"0";"C1d"
"102";"0.325";"5.83";"17.9384615384615";"Gm2a"
"103";"6.38";"0";"0";"Krit1"
"104";"0.46";"0.9";"1.95652173913043";"Clcn4"
"105";"0";"0";"NaN";"Vmn2r88"
"106";"0.01";"0";"0";"Grm6"
"107";"0.015";"0";"0";"Sema4f"
"108";"2.39";"9.115";"3.81380753138075";"Hk2"
