hotspot;chr;start;end;length_bp;n_cpg;diff.Methy;dir.Methy;region;gene_name
HS1;1;36352758;36352908;151;8;0.447060497155189;hyper;intron;Arid5a
HS2;3;58061709;58061821;113;6;-0.703187934720459;hypo;intron;Gm2668
HS3;4;26501229;26501287;59;7;-0.537348551360123;hypo;none;none
HS4;4;94829838;94829908;71;5;0.30343541687474;hyper;none;none
HS5;4;137286188;137286258;71;7;0.229939281681036;hyper;intron-exon;Hspg2
HS6;5;91885848;91885899;52;13;-0.301956775015976;hypo;exon;Trmt112-ps1
HS7;5;136089050;136089108;59;5;0.345420792398285;hyper;intron-exon;Upk3bl
HS8;5;150418173;150418301;129;10;0.402473004889556;hyper;intron-promoter;Fry
HS9;6;23091129;23091274;146;5;0.350942901894862;hyper;intron-exon;Aass
HS10;7;25554115;25554218;104;13;-0.412253935103849;hypo;none;none
HS11;7;97828406;97828470;65;7;0.390209296330945;hyper;promoter-intron;Capn5-Gm16938
HS12;8;120740695;120740821;127;14;0.445255986240773;hyper;intron-exon;Crispld2-Galnt2l
HS13;8;126201648;126201826;179;12;0.459499100551959;hyper;intron-exon;Sipa1l2
HS14;10;76776978;76777065;88;6;0.435354136213285;hyper;intron;Pcbp3
HS15;11;117096427;117096552;126;12;0.416356557138671;hyper;intron;Septin9
HS16;12;31582371;31582451;81;7;-0.596998387842354;hypo;intron;Slc26a4
HS17;13;107568887;107568956;70;5;-0.462476960841718;hypo;none;none
HS18;14;54985640;54985703;64;5;0.335414633007529;hyper;intron;Slc7a8
HS19;14;65623214;65623407;194;10;0.560947951217113;hyper;intron;Zfp395
HS20;14;68747267;68747330;64;6;0.380925847945015;hyper;intron-exon;Adam7
HS21;15;99512684;99512757;74;9;0.620341289857273;hyper;none;none
HS22;16;76154074;76154199;126;12;0.462194506338035;hyper;intron;Nrip1
HS23;17;80562899;80562982;84;10;0.393412165800858;hyper;intron-exon;Dhx57
HS24;17;84464700;84464760;61;5;0.340989361407443;hyper;promoter;Gm19696
