Name;Class;Blood;EpiCA;EpiCP;EpiMCA;ESC;Liver;Muscle;SpCA;SpCP;Scyte;Sptid1;Sptid2;Testis
chr6.trna317-GlyCCC;tRFs;11588,48264;43504,04591;17909,884;33912,47785;2709,06357;8440,774273;12083,39899;22341,71779;27855,83474;154,1698129;129,4207108;130,7310705;495,6487537
chr17.trna112-GlyCCC;tRFs;11197,0246;42596,75268;17928,3051;31451,61635;2666,50371;8258,579669;11696,12008;21509,59048;27147,42983;154,2315117;128,0617714;127,0396852;494,8835036
chr1.trna1010-GluCTC;tRFs;3144,59146;18167,82166;28265,65548;29190,0348;1411,199059;6528,258772;12531,35474;32570,8413;36481,12822;145,3468881;172,6583628;359,5475226;485,1965573
chr13.trna1013-GluCTC;tRFs;3119,827756;18274,78847;28294,23994;29064,88604;1401,817585;6538,639729;12526,15773;32515,64214;36462,15715;145,8867524;171,9715869;359,316811;484,7579383
chr3.trna303-GluCTC;tRFs;3124,801776;18206,26032;28205,37401;28994,85773;1402,433629;6491,529536;12434,02881;32499,33008;36336,97416;143,6501718;167,850932;359,2673728;485,2618835
chr1.trna1007-GluCTC;tRFs;3136,638348;18370,74957;28201,94387;29002,78425;1393,721002;6493,948827;12397,6497;32485,11748;36217,29051;144,9458461;172,4537912;357,207448;488,8921553
chr3.trna745-GluCTC;tRFs;3131,744125;18321,73893;28251,36324;28957,8351;1411,427875;6510,531967;12481,94935;32523,65073;36267,10989;146,1643969;171,9861992;359,0531406;485,159228
chr11.trna1912-GluCTC;tRFs;3109,267938;18193,7908;28250,79155;28977,08214;1406,323508;6503,582004;12518,53094;32560,93376;36343,97035;145,7787796;170,5688108;356,795463;486,185783
chr10.trna90-GluCTC;tRFs;3112,938605;18397,15243;28229,32144;29065,75603;1405,531452;6480,004913;12454,5469;32594,47786;36322,49368;145,0692437;171,5624439;357,0096952;487,2310027
chr1.trna1004-GluCTC;tRFs;3116,210286;18316,85955;28345,75551;29010,96854;1408,752483;6523,860061;12555,45;32628,68247;36344,0029;146,8739328;170,2181168;356,960257;486,829713
chr1.trna709-GluCTC;tRFs;3135,787178;18269,90909;28201,88035;28896,80735;1406,816344;6499,139306;12487,68631;32501,17005;36220,21914;144,0357892;171,5916684;357,9325415;485,3365421
chr11.trna208-ValAAC;tRFs;12354,53494;14089,69178;2612,23921;23583,09765;6932,469614;25055,10113;17962,37114;26056,7037;5667,532143;380,3883698;441,6406869;862,070309;387,300539
chr1.trna710-ValCAC;tRFs;12943,11845;14846,91703;2778,473769;23758,36176;8170,753841;25682,00541;18989,55792;27145,30659;5862,514331;438,7708352;562,4401694;976,2725426;433,486182
